Year,Destination,Trips_Thousand,YoY_Change_Thousand,YoY_Change_Pct
2022,Portugal,3724.0,3243.0,674.2203742203742
2022,Portugal,7.7,-3716.3,-99.79323308270676
2022,Portugal,562.0,554.3,7198.701298701299
2023,Portugal,709.0,147.0,26.156583629893237
2023,Portugal,5111.0,4402.0,620.8744710860367
2023,Portugal,7.2,-5103.8,-99.85912737233417
2023,Portugal,725.0,717.8,9969.444444444443
2024,Portugal,777.0,52.0,7.172413793103449
2024,Portugal,5193.0,4416.0,568.3397683397684
2024,Portugal,6.7,-5186.3,-99.87098016560755
2024,Portugal,687.0,680.3,10153.731343283582
2010,Spain,1371.0,,
2010,Spain,14348.0,12977.0,946.5353756382203
2010,Spain,10.5,-14337.5,-99.92681906885977
2010,Spain,1198.1,1187.6,11310.47619047619
2011,Spain,1410.0,211.9000000000001,17.686336699774664
2011,Spain,13947.0,12537.0,889.1489361702128
2011,Spain,9.9,-13937.1,-99.9290169929017
2011,Spain,1137.6,1127.6999999999998,11390.90909090909
2012,Spain,1339.0,201.4000000000001,17.70393811533053
2012,Spain,12497.0,11158.0,833.3084391336819
2012,Spain,9.3,-12487.7,-99.92558213971353
2012,Spain,1093.0,1083.7,11652.68817204301
2013,Spain,1367.0,274.0,25.068618481244286
2013,Spain,12690.0,11323.0,828.310168251646
2013,Spain,9.3,-12680.7,-99.92671394799054
2013,Spain,1101.4,1092.1000000000001,11743.010752688173
2014,Spain,1290.0,188.5999999999999,17.12366079535137
2014,Spain,12872.0,11582.0,897.829457364341
2014,Spain,10.0,-12862.0,-99.92231199502797
2014,Spain,1141.3,1131.3,11313.0
2015,Spain,1552.0,410.70000000000005,35.9852799439236
2015,Spain,14034.0,12482.0,804.2525773195877
2015,Spain,9.0,-14025.0,-99.93587002992732
2015,Spain,1317.7,1308.7,14541.111111111113
2016,Spain,1587.0,269.29999999999995,20.437125294073
2016,Spain,14652.0,13065.0,823.2514177693762
2016,Spain,9.2,-14642.8,-99.93720993720994
2016,Spain,1428.6,1419.3999999999999,15428.260869565218
2017,Spain,1758.0,329.4000000000001,23.057538849223015
2017,Spain,14579.0,12821.0,729.2946530147896
2017,Spain,8.3,-14570.7,-99.94306879758557
2017,Spain,1526.9,1518.6000000000001,18296.385542168675
2018,Spain,1786.0,259.0999999999999,16.96902220184686
2018,Spain,15072.0,13286.0,743.8969764837626
2018,Spain,8.4,-15063.6,-99.94426751592357
2018,Spain,1546.2,1537.8,18307.142857142855
2019,Spain,1881.0,334.79999999999995,21.65308498253784
2019,Spain,16389.0,14508.0,771.2918660287082
2019,Spain,8.7,-16380.3,-99.94691561413143
2019,Spain,1699.8,1691.1,19437.931034482757
2021,Spain,272.0,-1427.8,-83.99811742557948
2021,Spain,2453.0,2181.0,801.8382352941176
2021,Spain,9.0,-2444.0,-99.63310232368528
2021,Spain,333.0,324.0,3600.0
2022,Spain,1669.0,1336.0,401.20120120120123
2022,Spain,15044.0,13375.0,801.3780707010186
2022,Spain,9.0,-15035.0,-99.94017548524329
2022,Spain,1815.0,1806.0,20066.666666666664
2023,Spain,2266.0,451.0,24.84848484848485
2023,Spain,17905.0,15639.0,690.1588702559576
2023,Spain,7.9,-17897.1,-99.95587824629992
2023,Spain,2840.0,2832.1,35849.3670886076
2024,Spain,3164.0,324.0,11.40845070422536
2024,Spain,23581.0,20417.0,645.2907711757268
2024,Spain,7.5,-23573.5,-99.9681947330478
2024,Spain,3184.0,3176.5,42353.333333333336
2010,United Kingdom (includes Great Britain & Northern Ireland),2343.0,,
2010,United Kingdom (includes Great Britain & Northern Ireland),10451.0,8108.0,346.0520699957319
2010,United Kingdom (includes Great Britain & Northern Ireland),4.5,-10446.5,-99.95694191943355
2010,United Kingdom (includes Great Britain & Northern Ireland),984.7,980.2,21782.222222222223
2011,United Kingdom (includes Great Britain & Northern Ireland),2304.0,1319.3,133.9798923530009
2011,United Kingdom (includes Great Britain & Northern Ireland),10679.0,8375.0,363.4982638888889
2011,United Kingdom (includes Great Britain & Northern Ireland),4.6,-10674.4,-99.95692480569342
2011,United Kingdom (includes Great Britain & Northern Ireland),976.2,971.6,21121.739130434784
2012,United Kingdom (includes Great Britain & Northern Ireland),2237.0,1260.8,129.1538619135423
2012,United Kingdom (includes Great Britain & Northern Ireland),9239.0,7002.0,313.0084935181047
2012,United Kingdom (includes Great Britain & Northern Ireland),4.1,-9234.9,-99.95562290291157
2012,United Kingdom (includes Great Britain & Northern Ireland),871.8,867.6999999999999,21163.414634146342
2013,United Kingdom (includes Great Britain & Northern Ireland),2407.0,1535.2,176.0954347327369
2013,United Kingdom (includes Great Britain & Northern Ireland),9531.0,7124.0,295.9700872455338
2013,United Kingdom (includes Great Britain & Northern Ireland),4.0,-9527.0,-99.958031686077
2013,United Kingdom (includes Great Britain & Northern Ireland),924.0,920.0,23000.0
2014,United Kingdom (includes Great Britain & Northern Ireland),2355.0,1431.0,154.87012987012986
2014,United Kingdom (includes Great Britain & Northern Ireland),9763.0,7408.0,314.5647558386412
2014,United Kingdom (includes Great Britain & Northern Ireland),4.1,-9758.9,-99.95800471166649
2014,United Kingdom (includes Great Britain & Northern Ireland),973.1,969.0,23634.146341463416
2015,United Kingdom (includes Great Britain & Northern Ireland),2269.0,1295.9,133.17233583393278
2015,United Kingdom (includes Great Britain & Northern Ireland),8826.0,6557.0,288.98193036579994
2015,United Kingdom (includes Great Britain & Northern Ireland),3.9,-8822.1,-99.95581237253569
2015,United Kingdom (includes Great Britain & Northern Ireland),1030.3,1026.3999999999999,26317.94871794872
2016,United Kingdom (includes Great Britain & Northern Ireland),2463.0,1432.7,139.05658546054548
2016,United Kingdom (includes Great Britain & Northern Ireland),9040.0,6577.0,267.03207470564354
2016,United Kingdom (includes Great Britain & Northern Ireland),3.7,-9036.3,-99.95907079646018
2016,United Kingdom (includes Great Britain & Northern Ireland),998.3,994.5999999999999,26881.081081081076
2017,United Kingdom (includes Great Britain & Northern Ireland),2597.0,1598.7,160.14224181107886
2017,United Kingdom (includes Great Britain & Northern Ireland),9072.0,6475.0,249.32614555256066
2017,United Kingdom (includes Great Britain & Northern Ireland),3.5,-9068.5,-99.96141975308642
2017,United Kingdom (includes Great Britain & Northern Ireland),1032.7,1029.2,29405.714285714286
2018,United Kingdom (includes Great Britain & Northern Ireland),2728.0,1695.3,164.16190568412898
2018,United Kingdom (includes Great Britain & Northern Ireland),9107.0,6379.0,233.8343108504399
2018,United Kingdom (includes Great Britain & Northern Ireland),3.3,-9103.7,-99.96376413747666
2018,United Kingdom (includes Great Britain & Northern Ireland),1111.4,1108.1000000000001,33578.78787878788
2019,United Kingdom (includes Great Britain & Northern Ireland),3059.0,1947.6,175.2384380061184
2019,United Kingdom (includes Great Britain & Northern Ireland),10640.0,7581.0,247.82608695652172
2019,United Kingdom (includes Great Britain & Northern Ireland),3.5,-10636.5,-99.96710526315789
