Year,Destination,Trips_Thousand
2011,United States and Canada,785.1
2011,Great Britain,907.6
2011,Northern Ireland,68.6
2011,Asia (7),332.7
2011,Other Europe (22),647.8
2011,Other countries (26),459.5
2012,Germany,111.5
2012,Spain,1093.0
2012,France,495.6
2012,United Kingdom (includes Great Britain & Northern Ireland),871.8
2012,Italy,311.8
2012,Portugal,299.5
2012,United States and Canada,787.0
2012,Great Britain,789.0
2012,Northern Ireland,82.7
2012,Asia (7),346.2
2012,Other Europe (22),545.4
2012,Other countries (26),480.6
2013,Germany,99.3
2013,Spain,1101.4
2013,France,433.2
2013,United Kingdom (includes Great Britain & Northern Ireland),924.0
2013,Italy,256.1
2013,Portugal,246.5
2013,United States and Canada,819.0
2013,Great Britain,864.9
2013,Northern Ireland,59.1
2013,Asia (7),371.6
2013,Other Europe (22),568.6
2013,Other countries (26),564.4
2014,Germany,138.5
2014,Spain,1141.3
2014,France,473.3
2014,United Kingdom (includes Great Britain & Northern Ireland),973.1
2014,Italy,254.7
2014,Portugal,302.7
2014,United States and Canada,890.2
2014,Great Britain,897.2
2014,Northern Ireland,75.9
2014,Asia (7),347.0
2014,Other Europe (22),704.2
2014,Other countries (26),365.2
2015,Germany,126.5
2015,Spain,1317.7
2015,France,486.0
2015,United Kingdom (includes Great Britain & Northern Ireland),1030.3
2015,Italy,374.7
2015,Portugal,269.3
2015,United States and Canada,925.7
2015,Great Britain,946.5
2015,Northern Ireland,83.8
2015,Asia (7),368.5
2015,Other Europe (22),739.4
2015,Other countries (26),383.9
2016,Germany,160.0
2016,Spain,1428.6
2016,France,449.6
2016,United Kingdom (includes Great Britain & Northern Ireland),998.3
2016,Italy,357.7
2016,Portugal,382.5
2016,United States and Canada,1051.1
2016,Great Britain,913.2
2016,Northern Ireland,85.1
2016,Asia (7),472.4
2016,Other Europe (22),783.9
2016,Other countries (26),455.0
2017,Germany,171.4
2017,Spain,1526.9
2017,France,476.8
2017,United Kingdom (includes Great Britain & Northern Ireland),1032.7
2017,Italy,393.2
2017,Portugal,448.9
2017,United States and Canada,1137.9
2017,Great Britain,929.6
2017,Northern Ireland,103.1
2017,Asia (7),477.0
2017,Other Europe (22),930.7
2017,Other countries (26),295.2
2018,Germany,242.9
2018,Spain,1546.2
2018,France,485.8
2018,United Kingdom (includes Great Britain & Northern Ireland),1111.4
2018,Italy,418.9
2018,Portugal,355.9
2018,United States and Canada,1203.3
2018,Great Britain,989.0
2018,Northern Ireland,122.4
2018,Asia (7),587.7
2018,Other Europe (22),991.8
2018,Other countries (26),490.7
2019,Germany,172.3
2019,Spain,1699.8
2019,France,524.4
2019,United Kingdom (includes Great Britain & Northern Ireland),1202.4
2019,Italy,552.3
2019,Portugal,443.0
2019,United States and Canada,1331.7
2019,Great Britain,1040.8
2019,Northern Ireland,161.7
2019,Asia (7),798.4
2019,Other Europe (22),1132.7
2019,Other countries (26),395.8
2021,Germany,31.0
2021,Spain,333.0
2021,France,109.0
2021,United Kingdom (includes Great Britain & Northern Ireland),484.0
2021,Italy,50.0
2021,Portugal,109.0
2021,United States and Canada,104.0
2021,Great Britain,353.0
2021,Northern Ireland,130.0
2021,Asia (7),55.0
2021,Other Europe (22),631.0
2021,Other countries (26),53.0
2022,Germany,185.0
2022,Spain,1815.0
2022,France,568.0
2022,United Kingdom (includes Great Britain & Northern Ireland),1088.0
2022,Italy,608.0
2022,Portugal,562.0
2022,United States and Canada,1162.0
2022,Great Britain,876.0
2022,Northern Ireland,211.0
2022,Asia (7),255.0
2022,Other Europe (22),1704.0
2022,Other countries (26),571.0
2023,Germany,283.0
2023,Spain,2840.0
2023,France,1279.0
2023,United Kingdom (includes Great Britain & Northern Ireland),1791.0
2023,Italy,718.0
2023,Portugal,725.0
2023,United States and Canada,1536.0
2023,Great Britain,1482.0
2023,Northern Ireland,308.0
2023,Asia (7),756.0
2023,Other Europe (22),1989.0
2023,Other countries (26),1031.0
2024,Germany,248.0
2024,Spain,3184.0
2024,France,750.0
2024,United Kingdom (includes Great Britain & Northern Ireland),1993.0
2024,Italy,822.0
2024,Portugal,687.0
2024,United States and Canada,836.0
2024,Great Britain,1705.0
2024,Northern Ireland,287.0
2024,Asia (7),808.0
2024,Other Europe (22),1823.0
2024,Other countries (26),658.0
